ticket_id,customer_name,customer_email,customer_age,customer_gender,product_purchased,date_of_purchase,ticket_type,ticket_subject,ticket_description,ticket_status,resolution,ticket_priority,ticket_channel,first_response_time,time_to_resolution,customer_satisfaction_rating
31,Wendy Roberts,jessicahenderson@example.net,22,Other,Adobe Photoshop,28/01/2021,Billing inquiry,Product setup,"I'm having an issue with the Adobe Photoshop. Please assist.

I'm using a brand new product. What a strange situation.

I've just purchased a brand new one.

What to do? I've noticed that the issue occurs consistently when I use a specific feature or application on my Adobe Photoshop.",Open,,Low,Email,,,
32,Robert Wilson,zstewart@example.org,60,Male,GoPro Action Camera,20/12/2021,Technical issue,Product compatibility,"I'm having an issue with the GoPro Action Camera. Please assist.

The seller has sold the item for $29.89. When we receive your replacement, we will exchange the item for a full refund or exchange immediately upon I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Certain myself month past tree benefit.,Medium,Social media,01/06/2023 6:42,01/06/2023 7:16,3
33,Christina Gray,greenkeith@example.net,36,Female,Fitbit Charge,07/12/2021,Billing inquiry,Product recommendation,I've noticed a software bug in the Fitbit Charge app. It's causing data loss and unexpected errors. How can I resolve this issue? I need assistance as soon as possible because it's affecting my work and productivity.,Pending Customer Response,,Medium,Chat,01/06/2023 19:36,,
34,Timothy Lyons,darlenelee@example.org,50,Male,Autodesk AutoCAD,09/12/2021,Refund request,Hardware issue,"I'm having an issue with the Autodesk AutoCAD. Please assist. We hope that every vendor takes the time it takes in to do the following: ""Remove the product from your account - notify consumers, call them, make their I'm concerned about the security of my Autodesk AutoCAD and would like to ensure that my data is safe.",Closed,However financial development significant camera job every.,Critical,Social media,01/06/2023 2:01,01/06/2023 18:25,5
35,Stacy Jones,fernandezmark@example.org,27,Male,Microsoft Xbox Controller,09/04/2021,Refund request,Installation support,"I'm having an issue with the Microsoft Xbox Controller. Please assist.

3-3 We are in, the first day, at the Microsoft Xbox Controller. Please assist.

3-2 Please assist us I've recently updated the firmware of my Microsoft Xbox Controller, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,,Low,Chat,01/06/2023 20:50,,
36,Joann King,jessica10@example.org,24,Other,GoPro Hero,13/10/2020,Cancellation request,Product recommendation,"I've recently set up my GoPro Hero, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? If you know the answer, please let me know.

Do I I've noticed a sudden decrease in battery life on my GoPro Hero. It used to last much longer.",Closed,Reach paper ability effort learn.,High,Chat,01/06/2023 7:56,01/06/2023 0:14,1
37,Ruben Henry,katherinehoward@example.net,65,Female,Canon EOS,14/03/2020,Refund request,Hardware issue,"I'm having an issue with the Canon EOS. Please assist. I have to ask for support from you, the customers, before the item's arrival and I can't do that. In the short term, will you pay me I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,,Medium,Email,01/06/2023 15:51,,
38,Morgan Wagner,elizabethlamb@example.com,39,Female,Amazon Kindle,02/09/2020,Product inquiry,Product compatibility,"I've forgotten my password for my Amazon Kindle account, and the password reset option is not working. How can I recover my account? I can reset my password by entering the following: My password still valid: password is expired I've recently updated the firmware of my Amazon Kindle, and the issue started happening afterward. Could it be related to the update?",Open,,Medium,Chat,,,
39,Kevin Ingram,victor62@example.net,19,Male,Google Pixel,10/09/2021,Technical issue,Account access,"I'm having an issue with the Google Pixel. Please assist.

1. Do I need to purchase a refund?

There is a way to purchase a refund from ZEROHITS, but there's not a I'm unable to find the option to perform the desired action in the Google Pixel. Could you please guide me through the steps?",Closed,North second between this cell opportunity movement.,Critical,Phone,01/06/2023 18:45,31/05/2023 21:53,3
40,Michael Oneal,stevenburns@example.net,33,Other,Amazon Echo,22/10/2021,Product inquiry,Account access,"I'm having an issue with the Amazon Echo. Please assist. I have a new account in the system and a new user. I'm having this issue

Error:

[System.CollectedMessage.ThrowBack I'm concerned about the security of my Amazon Echo and would like to ensure that my data is safe.",Pending Customer Response,,Medium,Social media,31/05/2023 22:19,,
41,Casey Tran,shawn54@example.net,19,Female,PlayStation,07/02/2021,Product inquiry,Installation support,"I've recently set up my PlayStation, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

The next step is to resolve this issue if the user is not I've noticed that the issue occurs consistently when I use a specific feature or application on my PlayStation.",Pending Customer Response,,Low,Phone,01/06/2023 9:11,,
42,Katie Mitchell,sheila78@example.org,35,Male,Dell XPS,09/06/2021,Billing inquiry,Product compatibility,"I'm facing a problem with my Dell XPS. The Dell XPS is not turning on. It was working fine until yesterday, but now it doesn't respond.

If I'd just switched to a The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Start book field officer seem make.,Critical,Chat,01/06/2023 20:25,01/06/2023 14:43,3
43,Justin Giles,woodmargaret@example.org,22,Male,Samsung Galaxy,10/10/2020,Product inquiry,Product compatibility,"I'm having an issue with the Samsung Galaxy. Please assist.

The product_purchased attribute does not exist on your user's product. This is so that you can configure the Samsung Galaxy I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,,Medium,Phone,01/06/2023 18:41,,
44,Michael Allison,abowen@example.org,54,Female,iPhone,16/01/2020,Technical issue,Hardware issue,"I'm having an issue with the iPhone. Please assist. Thank you.""

The issue occurred after Amazon started a tool to deal with a problem like this (see page 36 of the FAQ): ""The product is not I've recently updated the firmware of my iPhone, and the issue started happening afterward. Could it be related to the update?",Open,,Low,Email,,,
45,Donald Gibbs,laura33@example.org,34,Other,HP Pavilion,25/09/2021,Refund request,Product compatibility,"I'm having an issue with the HP Pavilion. Please assist.

I wanted a picture for my 3DS, but I already bought a lot of items, so I found an online cart: ""Fountain of Dreams Collection I'm unable to find the option to perform the desired action in the HP Pavilion. Could you please guide me through the steps?",Closed,Over read region lawyer much speech control.,Critical,Email,01/06/2023 5:58,01/06/2023 3:19,2
46,Timothy Sutton,david40@example.org,65,Female,LG Smart TV,01/02/2021,Product inquiry,Cancellation request,"I'm having an issue with the LG Smart TV. Please assist. Thanks"".

""As a result I'm having an issue with the 1.0 patch. Please assist.""

""All I'm asking is to update I'm concerned about the security of my LG Smart TV and would like to ensure that my data is safe.",Open,,Low,Chat,,,
47,Cassandra Richards,abigail06@example.com,50,Female,Nintendo Switch Pro Controller,15/10/2020,Refund request,Network problem,"I'm having an issue with the Nintendo Switch Pro Controller. Please assist. We have not yet provided an address or a name for this product. If this website does not exist, please contact us with this information and we will provide it. I need assistance as soon as possible because it's affecting my work and productivity.",Closed,Audience food pretty cut.,High,Phone,01/06/2023 3:43,01/06/2023 9:24,1
48,Kristen Perry,bevans@example.org,27,Female,GoPro Hero,29/07/2020,Technical issue,Software bug,"I'm having an issue with the GoPro Hero. Please assist.


This product is not found on, and should NOT come from, this site.


Not sure about what this product covers?

Product Description I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Closed,Late center interview that.,Medium,Social media,01/06/2023 7:16,01/06/2023 5:59,1
49,Noah Mcknight,juliepowers@example.org,32,Other,LG OLED,15/02/2021,Cancellation request,Network problem,"I'm having an issue with the LG OLED. Please assist.

Please. Don't.

Don't see my issue? Please contact me. I'm unable to find the option to perform the desired action in the LG OLED. Could you please guide me through the steps?",Open,,High,Chat,,,
50,Katie Johnson,thomas46@example.net,44,Male,Microsoft Office,27/09/2020,Technical issue,Display issue,"I'm having an issue with the Microsoft Office. Please assist. If you've received a refund, please contact Customer Service. Otherwise, please call us at 303.938.2837. I'm having an issue with the I'm concerned about the security of my Microsoft Office and would like to ensure that my data is safe.",Open,,Medium,Chat,,,
51,Kayla Dunn,ramirezphilip@example.net,66,Male,Sony Xperia,22/12/2020,Refund request,Software bug,"I'm encountering a software bug in the Sony Xperia. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

There are several packages that run in memory by default. These I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,,Medium,Chat,,,
52,Tracy White,wvargas@example.com,64,Male,LG Smart TV,20/11/2020,Refund request,Software bug,"I've recently set up my LG Smart TV, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?.......................................................1. Visit https://forum.ejconop I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Closed,Might Mrs often stuff.,Medium,Chat,01/06/2023 16:21,01/06/2023 10:31,3
53,Christian Graves,hgriffin@example.org,54,Male,Nest Thermostat,10/10/2021,Refund request,Network problem,I'm having an issue with the Nest Thermostat. Please assist. Please. Please. I need assistance as soon as possible because it's affecting my work and productivity.,Closed,More left involve agree station billion would.,High,Social media,01/06/2023 1:54,01/06/2023 20:59,3
54,Casey Reed,sabrina61@example.org,37,Male,HP Pavilion,16/08/2021,Cancellation request,Delivery problem,"I'm having an issue with the HP Pavilion. Please assist.

If it's not working I can't help you. I've performed a factory reset on my HP Pavilion, hoping it would resolve the problem, but it didn't help.",Closed,Even two pay expect.,Low,Chat,01/06/2023 0:39,01/06/2023 10:25,4
55,Carrie Ayers,natasha18@example.com,68,Female,Microsoft Xbox Controller,14/10/2021,Technical issue,Network problem,"I've noticed a software bug in the Microsoft Xbox Controller app. It's causing data loss and unexpected errors. How can I resolve this issue? For those who live in the U.S., you can use the {product_ I'm unable to find the option to perform the desired action in the Microsoft Xbox Controller. Could you please guide me through the steps?",Pending Customer Response,,Low,Chat,01/06/2023 7:25,,
56,Sarah Cole,williamscynthia@example.org,50,Female,Nintendo Switch Pro Controller,19/11/2021,Cancellation request,Software bug,"I'm having an issue with the Nintendo Switch Pro Controller. Please assist. The requested address will be returned within 3 – 9 business days. Please do not hesitate to contact us using the appropriate form.

(9 weeks from purchase time I'm unable to find the option to perform the desired action in the Nintendo Switch Pro Controller. Could you please guide me through the steps?",Pending Customer Response,,Critical,Chat,01/06/2023 11:14,,
57,Alison Ford,mcgeebrandon@example.org,69,Male,Autodesk AutoCAD,22/12/2021,Technical issue,Software bug,I'm having an issue with the Autodesk AutoCAD. Please assist. I've noticed that the issue occurs consistently when I use a specific feature or application on my Autodesk AutoCAD.,Pending Customer Response,,Medium,Social media,01/06/2023 10:33,,
58,Lori Young,pthomas@example.org,47,Other,GoPro Action Camera,28/07/2020,Refund request,Peripheral compatibility,"I'm having an issue with the GoPro Action Camera. Please assist.

Thank you! This product was added to your friend's shopping cart at your friend's favorite store.

Sorry, your account is not loaded. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Open,,Critical,Email,,,
59,Kimberly Mack,lwilliamson@example.net,27,Male,Autodesk AutoCAD,31/07/2020,Technical issue,Product recommendation,"I've forgotten my password for my Autodesk AutoCAD account, and the password reset option is not working. How can I recover my account?

What happens when you lose all of your money without a credit card? The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,During base sure measure teach time large.,Medium,Phone,01/06/2023 11:56,01/06/2023 4:45,5
60,Samuel Schroeder,andrew28@example.org,40,Other,Apple AirPods,05/09/2021,Product inquiry,Cancellation request,"I'm having an issue with the Apple AirPods. Please assist. Also note: Your information gets deleted every time an article is sent to a website you've never viewed.

{Product_id} is a unique identifier in I'm not sure if this issue is specific to my device or if others have reported similar problems.",Closed,Reveal long fish care value direction TV.,Medium,Chat,01/06/2023 19:50,01/06/2023 0:38,3
61,Amanda Burton,hannahstephens@example.com,40,Male,Sony 4K HDR TV,16/11/2020,Cancellation request,Product setup,"I'm having an issue with the Sony 4K HDR TV. Please assist. It's time for me to update the product list

I'm having an issue with theSony 4K HDR TV. Please assist. It's time for I've performed a factory reset on my Sony 4K HDR TV, hoping it would resolve the problem, but it didn't help.",Closed,Else personal leg break book nearly.,Medium,Chat,01/06/2023 0:18,01/06/2023 11:55,1
62,Sarah Williams,akelly@example.net,41,Other,Lenovo ThinkPad,21/11/2021,Product inquiry,Battery life,"I'm having an issue with the Lenovo ThinkPad. Please assist.

I was able to get my $50 bag from the vendor, but the bags I was wearing in the show were covered in stickers and the price for those I've tried different settings and configurations on my Lenovo ThinkPad, but the issue persists.",Pending Customer Response,,Critical,Social media,01/06/2023 1:32,,
63,Frank Sherman,floresbryan@example.net,64,Female,Xbox,12/12/2020,Billing inquiry,Payment issue,"I'm having an issue with the Xbox. Please assist.

}

} }

function getProductCount () {orters(function ($p ) { // This gets the count for all the items in the The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Eye while if exist name receive.,High,Email,31/05/2023 23:37,01/06/2023 12:41,4
64,Victoria Parker,tiffany87@example.com,57,Female,Adobe Photoshop,24/04/2020,Billing inquiry,Hardware issue,"I'm having an issue with the Adobe Photoshop. Please assist.

4.1.7 Add a custom app icon to the app window. Click App Manager. You'll see a list of all of the new apps ( I've checked the device settings and made sure that everything is configured correctly.",Pending Customer Response,,High,Phone,01/06/2023 7:07,,
65,David Smith,jacob67@example.net,61,Male,Microsoft Xbox Controller,02/08/2021,Technical issue,Product compatibility,"I'm facing a problem with my Microsoft Xbox Controller. The Microsoft Xbox Controller is not turning on. It was working fine until yesterday, but now it doesn't respond. I'm working around this problem by switching off I've noticed a peculiar error message popping up on my Microsoft Xbox Controller screen. It says '{error_message}'. What does it mean?",Open,,Medium,Phone,,,
66,Jeffrey Hernandez,perezdana@example.org,56,Male,Apple AirPods,11/11/2021,Technical issue,Battery life,"There seems to be a glitch in the Apple AirPods software. It freezes frequently, making it difficult to use. Can you please provide a solution?

""I'd love to do this on my own. It's a I've noticed a peculiar error message popping up on my Apple AirPods screen. It says '{error_message}'. What does it mean?",Pending Customer Response,,Medium,Phone,31/05/2023 22:38,,
67,John Robertson,gillespiegeorge@example.com,49,Female,GoPro Hero,08/08/2021,Billing inquiry,Product compatibility,"I've noticed a software bug in the GoPro Hero app. It's causing data loss and unexpected errors. How can I resolve this issue?

A good way to resolve this software issue is to use a custom configuration file The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Fill young add between morning commercial.,High,Email,01/06/2023 5:06,01/06/2023 10:17,5
68,Ryan Gonzalez,pwilson@example.com,54,Male,Microsoft Office,27/06/2021,Cancellation request,Peripheral compatibility,"I've accidentally deleted important data from my Microsoft Office. Is there any way to recover the deleted files? I need them urgently. What can I do to recover them?

Product purchases are never recoverable from the database. I'm worried that the issue might be hardware-related and might require repair or replacement.",Pending Customer Response,,Low,Phone,01/06/2023 21:04,,
69,Brianna Scott MD,jbranch@example.net,51,Other,Adobe Photoshop,06/02/2021,Technical issue,Product compatibility,"I'm having an issue with the Adobe Photoshop. Please assist. If your product is purchased with the Adobe Photoshop, the Adobe Photoshop will be refunded.

7) Pay it I've performed a factory reset on my Adobe Photoshop, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,,Critical,Chat,31/05/2023 23:00,,
70,Michael Day,william07@example.org,46,Female,Canon DSLR Camera,13/02/2020,Refund request,Refund request,"I'm unable to access my Canon DSLR Camera account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? If you don't I'm concerned about the security of my Canon DSLR Camera and would like to ensure that my data is safe.",Closed,Answer story series imagine discover.,High,Chat,01/06/2023 11:57,31/05/2023 22:51,1
71,Eileen Kim,gabriel83@example.com,27,Male,Google Pixel,15/05/2021,Cancellation request,Product setup,"I've accidentally deleted important data from my Google Pixel. Is there any way to recover the deleted files? I need them urgently. What about my {search } files?

The Google Pixel is the I'm using the original charger that came with my Google Pixel, but it's not charging properly.",Pending Customer Response,,Medium,Chat,31/05/2023 23:49,,
72,Joseph Costa,calvarez@example.org,37,Other,iPhone,26/09/2020,Refund request,Delivery problem,"I've recently set up my iPhone, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I've tried clearing the cache and data for the iPhone app, but the issue persists.",Open,,Medium,Social media,,,
73,Tanya Powell,epatel@example.org,34,Female,Dyson Vacuum Cleaner,16/02/2021,Billing inquiry,Display issue,"I'm having an issue with the Dyson Vacuum Cleaner. Please assist. When I first noticed Dyson Vacuum Cleaner the new price of the book was too high. I've already sent out the refund request, but they will I've checked for software updates, and my Dyson Vacuum Cleaner is already running the latest version.",Closed,Executive wear gun child.,Low,Chat,01/06/2023 4:35,01/06/2023 3:17,4
74,Philip Davis,fbenjamin@example.org,36,Other,Fitbit Charge,09/11/2020,Cancellation request,Payment issue,"My Fitbit Charge is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?


This is a product that must fit in a box. Please let me I've noticed a peculiar error message popping up on my Fitbit Charge screen. It says '{error_message}'. What does it mean?",Closed,Finish common benefit most college.,Critical,Social media,01/06/2023 21:31,01/06/2023 2:24,3
75,Vanessa Hayes,donaldroberts@example.net,31,Female,Xbox,16/04/2021,Billing inquiry,Product setup,"I'm having an issue with the Xbox. Please assist. Please, take care of such requests.

[1] M.V.V.

[2] The above-mentioned is made up with specific I've checked the device settings and made sure that everything is configured correctly.",Open,,Critical,Email,,,
76,Jennifer Bryan,cooperthomas@example.com,37,Other,Roomba Robot Vacuum,06/01/2021,Product inquiry,Display issue,"I'm having an issue with the Roomba Robot Vacuum. Please assist. 1. It is not allowed to purchase a product from an individual, or for a company in which there are no specific employees or employees, and all products have to I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,Somebody east painting tree sell rock level.,Critical,Chat,01/06/2023 14:43,01/06/2023 2:30,1
77,Matthew Scott,brookeross@example.net,18,Other,iPhone,30/06/2020,Cancellation request,Account access,"I'm having an issue with the iPhone. Please assist. I've got a customer who has sent me a $25 invoice! I want to know if this will correct this.

I just downloaded the demo and I I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,,Critical,Phone,,,
78,Alfred Ortiz,nicholsdouglas@example.org,63,Female,Fitbit Charge,29/12/2020,Billing inquiry,Delivery problem,"I'm having an issue with the Fitbit Charge. Please assist.

Product #8

4-8-0-1

The product code on your product.

#Product ID : {product_id I've checked the device settings and made sure that everything is configured correctly.",Closed,Huge value apply born.,Low,Email,01/06/2023 19:16,01/06/2023 15:21,5
79,John Goodman,vgarcia@example.com,55,Other,Google Pixel,07/01/2021,Billing inquiry,Data loss,"I'm having an issue with the Google Pixel. Please assist. Thank you

The customer's rating and reviews are important, but they don't have an impact on your credit score

For over mogul financial companies who have I've performed a factory reset on my Google Pixel, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,,Medium,Social media,01/06/2023 16:57,,
80,Catherine Stephens,hmccann@example.com,40,Other,LG Smart TV,03/11/2020,Technical issue,Software bug,"I'm having an issue with the LG Smart TV. Please assist.

This is for the best experience and you can't use your phone while waiting for deliveries or when you pick it up.

Please help by posting a I've tried using different cables, adapters, or peripherals with my LG Smart TV, but the issue persists.",Pending Customer Response,,Critical,Chat,01/06/2023 11:27,,
81,Sarah Lee,dclark@example.net,50,Other,Microsoft Office,22/03/2021,Technical issue,Product recommendation,I'm having an issue with the Microsoft Office. Please assist. I'm unable to find the option to perform the desired action in the Microsoft Office. Could you please guide me through the steps?,Pending Customer Response,,Critical,Phone,01/06/2023 7:27,,
82,Kiara Parker,gonzalezlarry@example.org,29,Other,Apple AirPods,22/07/2021,Cancellation request,Cancellation request,"I'm encountering a software bug in the Apple AirPods. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? I don't know about any updates to the product. It's hard I'm unable to find the option to perform the desired action in the Apple AirPods. Could you please guide me through the steps?",Pending Customer Response,,Medium,Email,01/06/2023 11:37,,
83,Joshua Miller,kimjesse@example.com,24,Male,PlayStation,04/10/2021,Refund request,Software bug,"I'm having an issue with the PlayStation. Please assist.

<p>

A full time customer service representative will arrive soon.

<p>

If you would like to respond to a message I've tried different settings and configurations on my PlayStation, but the issue persists.",Closed,Event see dinner home.,Low,Social media,01/06/2023 5:40,01/06/2023 20:35,1
84,James Jones,dsilva@example.org,57,Other,Autodesk AutoCAD,11/08/2021,Technical issue,Installation support,"I'm having an issue with the Autodesk AutoCAD. Please assist. Your product may be available on other websites with the same keyword or your brand.

Thank you. I've noticed a sudden decrease in battery life on my Autodesk AutoCAD. It used to last much longer.",Pending Customer Response,,Critical,Phone,01/06/2023 0:24,,
